;10;5900;3300;762600
;45;7505;2800;26900
;100;15788;6800;68800
;450;29461;23100;57100
;1000;54672;48400;74400
;4500;287511;274100;351200
;10000;673622;666100;687100
;45000;3485061;3426000;3802000
;100000;8200916;7916100;10275200
;450000;40412750;40056500;41999400
;1000000;95555016;94979400;96892200
;4500000;475291116;474306400;479994700
;10000000;1109622316;1106022000;1119884500
;45000000;5464728733;5451135100;5510331400
;100000000;12666609172;12638425200;12744423100
